1,John F Kennedy Intl,JFK,40.639751,-73.778925,5618852,
2,Los Angeles Intl,LAX,33.942536,-118.408075,3928864,
3,La Guardia,LGA,40.777245,-73.872608,2872227,
4,George Bush Intercontinental,IAH,29.984433,-95.341442,2239558,
5,Chicago Ohare Intl,ORD,41.978603,-87.904842,2084044,
6,Philadelphia Intl,PHL,39.871944,-75.241139,1560297,
7,Phoenix Sky Harbor Intl,PHX,33.434278,-112.011583,1537058,
8,San Diego Intl,SAN,32.733556,-117.189667,1381069,
9,Dallas Fort Worth Intl,DFW,32.896828,-97.037997,1281047,
10,San Francisco Intl,SFO,37.618972,-122.374889,852469,
11,Charlotte Douglas Intl,CLT,35.214,-80.943139,809958,
12,General Edward Lawrence Logan Intl,BOS,42.364347,-71.005181,655884,
13,Chicago Midway Intl,MDW,41.785972,-87.752417,638345,
14,Baltimore Washington Intl,BWI,39.175361,-76.668333,622793,
15,Mc Carran Intl,LAS,36.080056,-115.15225,613599,
16,Hartsfield Jackson Atlanta Intl,ATL,33.636719,-84.428067,456002,
17,Miami Intl,MIA,25.79325,-80.290556,430332,
18,Minneapolis St Paul Intl,MSP,44.881956,-93.221767,407207,
19,Tampa Intl,TPA,27.975472,-82.53325,358699,
20,Honolulu Intl,HNL,21.318681,-157.922428,350399,
21,Washington Dulles Intl,IAD,38.944533,-77.455811,335210,
22,Ronald Reagan Washington Natl,DCA,38.852083,-77.037722,323683,
23,Newark Liberty Intl,EWR,40.6925,-74.168667,280579,
24,Orlando Intl,MCO,28.429394,-81.308994,262372,
25,Fort Lauderdale Hollywood Intl,FLL,26.072583,-80.15275,176013,
