1,JFK,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
2,LAX,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0
3,LGA,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
4,IAH,0,0,0,0.33,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0
5,ORD,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0.33,0,0,# Interpreted as Kentucky
6,PHL,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
7,PHX,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0
8,SAN,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0
9,DFW,0,0,0,0.33,0.67,0.67,0.67,0.33,0.33,0.67,0.33,0
10,SFO,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0,0
11,CLT,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0.67,0,0
12,BOS,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
13,MDW,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0.33,0,0,# Interpreted as Kentucky
14,BWI,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
15,LAS,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33,0,0
16,ATL,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0.67,0,0
17,MIA,0.67,0.67,0.67,0.67,0.67,1,1,1,1,1,1,0.67
18,MSP,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0.33,0,0,# Interpreted as Kentucky
19,TPA,0.33,0.33,0.33,0.33,0.67,0.67,1,1,1,0.67,0.67,0.33
20,HNL,0.67,0.67,0.67,0.67,0.67,1,1,1,1,1,1,0.67,# Interpreted as Miami
21,IAD,0,0,0,0,0,0.33,0.67,0.67,0.67,0.33,0,0
22,DCA,0,0,0,0,0,0.33,0.67,0.67,0.67,0.33,0,0
23,EWR,0,0,0,0,0,0.33,0.67,0.67,0.67,0.67,0,0
24,MCO,0.33,0,0,0.33,0.67,1,1,1,1,0.67,0.67,0.33
25,FLL,0.67,0.67,0.67,0.67,0.67,1,1,1,1,1,1,0.67
